,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Cluster
0,39.1,18.7,181,3750,1,0
1,39.5,17.4,186,3800,0,0
2,40.3,18,195,3250,0,0
3,36.7,19.3,193,3450,0,0
4,39.3,20.6,190,3650,1,0
5,38.9,17.8,181,3625,0,0
6,39.2,19.6,195,4675,1,0
7,34.1,18.1,193,3475,1,0
8,42,20.2,249.375,4250,1,0
9,37.8,17.1,186,3300,1,0
10,37.8,17.3,180,3700,1,0
11,41.1,17.6,182,3200,0,0
12,38.6,21.2,191,3800,1,0
13,34.6,21.1,154.375,4400,1,0
14,36.6,17.8,185,3700,0,0
15,38.7,19,195,3450,0,0
16,42.5,20.7,197,4500,1,0
17,34.4,18.4,184,3325,0,0
18,46,21.5,194,4200,1,0
19,37.8,18.3,174,3400,0,0
20,37.7,18.7,180,3600,1,0
21,35.9,19.2,189,3800,0,0
22,38.2,18.1,185,3950,1,0
23,38.8,17.2,180,3800,1,0
24,35.3,18.9,187,3800,0,0
25,40.6,18.6,183,3550,1,0
26,40.5,17.9,187,3200,0,0
27,37.9,18.6,172,3150,0,0
28,40.5,18.9,180,3950,1,0
29,39.5,16.7,178,3250,0,0
30,37.2,18.1,178,3900,1,0
31,39.5,17.8,188,3300,0,0
32,40.9,18.9,184,3900,1,0
33,36.4,17,195,3325,0,0
34,39.2,21.1,196,4150,1,0
35,38.8,20,190,3950,1,0
36,42.2,18.5,180,3550,0,0
37,37.6,19.3,181,3300,0,0
38,39.8,19.1,184,4650,1,0
39,36.5,18,182,3150,0,0
40,40.8,18.4,195,3900,1,0
41,36,18.5,186,3100,0,0
42,44.1,19.7,196,4400,1,0
43,37,16.9,185,3000,0,0
44,39.6,18.8,190,4600,1,0
45,41.1,19,182,3425,1,0
46,37.5,18.9,179,2975,1,0
47,36,17.9,190,3450,0,0
48,42.3,21.2,191,4150,1,0
49,39.6,17.7,186,3500,0,0
50,40.1,18.9,188,4300,1,0
51,35,17.9,190,3450,0,0
52,42,19.5,200,4050,1,0
53,34.5,18.1,187,2900,0,0
54,41.4,18.6,191,3700,1,0
55,39,17.5,186,3550,0,0
56,40.6,18.8,193,3800,1,0
57,36.5,16.6,181,2850,0,0
58,37.6,19.1,194,3750,1,0
59,35.7,16.9,185,3150,0,0
60,41.3,21.1,195,4400,1,0
61,37.6,17,185,3600,0,0
62,41.1,18.2,192,4050,1,0
63,36.4,17.1,184,2850,0,0
64,41.6,18,192,3950,1,0
65,35.5,16.2,195,3350,0,0
66,41.1,19.1,188,4100,1,0
67,35.9,16.6,190,3050,0,0
68,41.8,19.4,198,4450,1,0
69,33.5,19,190,3600,0,0
70,39.7,18.4,190,3900,1,0
71,39.6,17.2,196,3550,0,0
72,45.8,18.9,197,4150,1,0
73,35.5,17.5,190,3700,0,0
74,42.8,18.5,195,4250,1,0
75,40.9,16.8,191,3700,0,0
76,37.2,19.4,184,3900,1,0
77,36.2,16.1,187,3550,0,0
78,42.1,19.1,195,4000,1,0
79,34.6,17.2,189,3200,0,0
80,42.9,17.6,196,4700,1,0
81,36.7,18.8,187,3800,0,0
82,35.1,19.4,193,4200,1,0
83,37.3,17.8,191,3350,0,0
84,41.3,20.3,194,3550,1,0
