,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Cluster
0,39.1,18.7,181,3750,1,1
1,39.5,17.4,186,3800,0,1
2,40.3,18,195,3250,0,1
3,36.7,19.3,193,3450,0,1
4,39.3,20.6,190,3650,1,1
5,38.9,17.8,181,3625,0,1
6,39.2,19.6,195,4675,1,1
7,34.1,18.1,193,3475,1,1
8,42,20.2,249.375,4250,1,0
9,37.8,17.1,186,3300,1,1
10,37.8,17.3,180,3700,1,1
11,41.1,17.6,182,3200,0,1
12,38.6,21.2,191,3800,1,1
13,34.6,21.1,154.375,4400,1,1
14,36.6,17.8,185,3700,0,1
15,38.7,19,195,3450,0,1
16,42.5,20.7,197,4500,1,1
17,34.4,18.4,184,3325,0,1
18,46,21.5,194,4200,1,0
19,37.8,18.3,174,3400,0,1
20,37.7,18.7,180,3600,1,1
21,35.9,19.2,189,3800,0,1
22,38.2,18.1,185,3950,1,1
23,38.8,17.2,180,3800,1,1
24,35.3,18.9,187,3800,0,1
25,40.6,18.6,183,3550,1,1
26,40.5,17.9,187,3200,0,1
27,37.9,18.6,172,3150,0,1
28,40.5,18.9,180,3950,1,1
29,39.5,16.7,178,3250,0,1
30,37.2,18.1,178,3900,1,1
31,39.5,17.8,188,3300,0,1
32,40.9,18.9,184,3900,1,1
33,36.4,17,195,3325,0,1
34,39.2,21.1,196,4150,1,1
35,38.8,20,190,3950,1,1
36,42.2,18.5,180,3550,0,1
37,37.6,19.3,181,3300,0,1
38,39.8,19.1,184,4650,1,1
39,36.5,18,182,3150,0,1
40,40.8,18.4,195,3900,1,1
41,36,18.5,186,3100,0,1
42,44.1,19.7,196,4400,1,1
43,37,16.9,185,3000,0,1
44,39.6,18.8,190,4600,1,1
45,41.1,19,182,3425,1,1
46,37.5,18.9,179,2975,1,1
47,36,17.9,190,3450,0,1
48,42.3,21.2,191,4150,1,1
49,39.6,17.7,186,3500,0,1
50,40.1,18.9,188,4300,1,1
51,35,17.9,190,3450,0,1
52,42,19.5,200,4050,1,1
53,34.5,18.1,187,2900,0,1
54,41.4,18.6,191,3700,1,1
55,39,17.5,186,3550,0,1
56,40.6,18.8,193,3800,1,1
57,36.5,16.6,181,2850,0,1
58,37.6,19.1,194,3750,1,1
59,35.7,16.9,185,3150,0,1
60,41.3,21.1,195,4400,1,1
61,37.6,17,185,3600,0,1
62,41.1,18.2,192,4050,1,1
63,36.4,17.1,184,2850,0,1
64,41.6,18,192,3950,1,1
65,35.5,16.2,195,3350,0,1
66,41.1,19.1,188,4100,1,1
67,35.9,16.6,190,3050,0,1
68,41.8,19.4,198,4450,1,1
69,33.5,19,190,3600,0,1
70,39.7,18.4,190,3900,1,1
71,39.6,17.2,196,3550,0,1
72,45.8,18.9,197,4150,1,0
73,35.5,17.5,190,3700,0,1
74,42.8,18.5,195,4250,1,1
75,40.9,16.8,191,3700,0,1
76,37.2,19.4,184,3900,1,1
77,36.2,16.1,187,3550,0,1
78,42.1,19.1,195,4000,1,1
79,34.6,17.2,189,3200,0,1
80,42.9,17.6,196,4700,1,1
81,36.7,18.8,187,3800,0,1
82,35.1,19.4,193,4200,1,1
83,37.3,17.8,191,3350,0,1
84,41.3,20.3,194,3550,1,1
85,36.3,19.5,190,3800,1,1
86,36.9,18.6,189,3500,0,1
87,38.3,19.2,189,3950,1,1
88,38.9,18.8,190,3600,0,1
89,35.7,18,202,3550,0,1
90,41.1,18.1,205,4300,1,1
91,34,17.1,185,3400,0,1
92,39.6,18.1,186,4450,1,1
93,36.2,17.3,187,3300,0,1
94,40.8,18.9,208,4300,1,1
95,38.1,18.6,190,3700,0,1
96,40.3,18.5,196,4350,1,1
97,33.1,16.1,178,2900,0,1
98,43.2,18.5,192,4100,1,1
99,35,17.9,192,3725,0,1
100,41,20,203,4725,1,1
101,37.7,16,183,3075,0,1
102,37.8,20,190,4250,1,1
103,37.9,18.6,193,2925,0,1
104,39.7,18.9,184,3550,1,1
105,38.6,17.2,199,3750,0,1
106,38.2,20,190,3900,1,1
107,38.1,17,181,3175,0,1
108,43.2,19,197,4775,1,0
109,38.1,16.5,198,3825,0,1
110,45.6,20.3,191,4600,1,0
111,39.7,17.7,193,3200,0,1
112,42.2,19.5,197,4275,1,1
113,39.6,20.7,191,3900,0,1
114,42.7,18.3,196,4075,1,1
115,38.6,17,188,2900,0,1
116,37.3,20.5,199,3775,1,1
117,35.7,17,189,3350,0,1
118,41.1,18.6,189,3325,1,1
119,36.2,17.2,187,3150,0,1
120,37.7,19.8,198,3500,1,1
121,40.2,17,176,3450,0,1
122,41.4,18.5,202,3875,1,1
123,35.2,15.9,186,3050,0,1
124,40.6,19,199,4000,1,1
125,38.8,17.6,191,3275,0,1
126,41.5,18.3,195,4300,1,1
127,39,17.1,191,3050,0,1
128,44.1,18,210,4000,1,0
129,38.5,17.9,190,3325,0,1
130,43.1,19.2,197,3500,1,0
131,36.8,18.5,193,3500,0,1
132,37.5,18.5,199,4475,1,1
133,38.1,17.6,187,3425,0,1
134,41.1,17.5,190,3900,1,1
135,35.6,17.5,191,3175,0,1
136,40.2,20.1,200,3975,1,1
137,37,16.5,185,3400,0,1
138,39.7,17.9,193,4250,1,1
139,40.2,17.1,193,3400,0,1
140,40.6,17.2,187,3475,1,1
141,32.1,15.5,188,3050,0,1
142,40.7,17,190,3725,1,1
143,37.3,16.8,192,3000,0,1
144,39,18.7,185,3650,1,1
145,39.2,18.6,190,4250,1,1
146,36.6,18.4,184,3475,0,1
147,36,17.8,195,3450,0,1
148,37.8,18.1,193,3750,1,1
149,36,17.1,187,3700,0,1
150,41.5,18.5,201,4000,1,1
151,46.5,17.9,192,3500,0,0
152,50,19.5,196,3900,1,0
153,51.3,19.2,193,3650,1,0
154,45.4,18.7,188,3525,0,0
155,52.7,19.8,197,3725,1,0
156,45.2,17.8,198,3950,0,0
157,46.1,18.2,178,3250,0,0
158,51.3,18.2,197,3750,1,0
159,46,18.9,195,4150,0,0
160,51.3,19.9,198,3700,1,0
161,46.6,17.8,193,3800,0,0
162,51.7,20.3,194,3775,1,0
163,47,17.3,185,3700,0,0
164,52,18.1,201,4050,1,0
165,45.9,17.1,190,3575,0,0
166,50.5,19.6,201,4050,1,0
167,50.3,20,197,3300,1,0
168,58,17.8,181,3700,0,0
169,46.4,18.6,190,3450,0,0
170,49.2,18.2,195,4400,1,0
171,42.4,17.3,181,3600,0,1
172,48.5,17.5,191,3400,1,0
173,43.2,16.6,187,2900,0,1
174,50.6,19.4,193,3800,1,0
175,46.7,17.9,195,3300,0,0
176,52,19,197,4150,1,0
177,50.5,18.4,200,3400,0,0
178,49.5,19,200,3800,1,0
179,46.4,17.8,191,3700,0,0
180,52.8,20,205,4550,1,0
181,40.9,16.6,187,3200,0,1
182,54.2,20.8,201,4300,1,0
183,42.5,16.7,187,3350,0,1
184,51,18.8,203,4100,1,0
185,49.7,18.6,195,3600,1,0
186,47.5,16.8,199,3900,0,0
187,47.6,18.3,195,3850,0,0
188,52,20.7,210,4800,1,0
189,46.9,16.6,192,2700,0,0
190,53.5,19.9,205,4500,1,0
191,49,19.5,210,3950,1,0
192,46.2,17.5,187,3650,0,0
193,50.9,19.1,196,3550,1,0
194,45.5,17,196,3500,0,0
195,50.9,17.9,196,3675,0,0
196,50.8,18.5,201,4450,1,0
197,50.1,17.9,190,3400,0,0
198,49,19.6,212,4300,1,0
199,51.5,18.7,187,3250,1,0
200,49.8,17.3,198,3675,0,0
201,48.1,16.4,199,3325,0,0
202,51.4,19,201,3950,1,0
203,45.7,17.3,193,3600,0,0
204,50.7,19.7,203,4050,1,0
205,42.5,17.3,187,3350,0,1
206,52.2,18.8,197,3450,1,0
207,45.2,16.6,191,3250,0,0
208,49.3,19.9,203,4050,1,0
209,50.2,18.8,202,3800,1,0
210,45.6,19.4,194,3525,0,0
211,51.9,19.5,206,3950,1,0
212,46.8,16.5,189,3650,0,0
213,45.7,17,195,3650,0,0
214,55.8,19.8,207,4000,1,0
215,43.5,18.1,202,3400,0,0
216,49.6,18.2,193,3775,1,0
217,50.8,19,210,4100,1,0
218,50.2,18.7,198,3775,0,0
219,46.1,13.2,211,4500,0,2
220,50,16.3,230,5700,1,2
221,48.7,14.1,210,4450,0,2
222,50,15.2,218,5700,1,2
223,47.6,14.5,215,5400,1,2
224,46.5,13.5,210,4550,0,2
225,45.4,14.6,211,4800,0,2
226,46.7,15.3,219,5200,1,2
227,43.3,13.4,209,4400,0,2
228,46.8,15.4,215,5150,1,2
229,40.9,13.7,214,4650,0,2
230,49,16.1,216,5550,1,2
231,45.5,13.7,214,4650,0,2
232,48.4,14.6,213,5850,1,2
233,45.8,14.6,210,4200,0,2
234,49.3,15.7,217,5850,1,2
235,42,13.5,210,4150,0,2
236,49.2,15.2,221,6300,1,2
237,46.2,14.5,209,4800,0,2
238,48.7,15.1,222,5350,1,2
239,50.2,14.3,218,5700,1,2
240,45.1,14.5,215,5000,0,2
241,46.5,14.5,213,4400,0,2
242,46.3,15.8,215,5050,1,2
243,42.9,13.1,215,5000,0,2
244,46.1,15.1,215,5100,1,2
245,44.5,14.3,216,4100,1,2
246,47.8,15,215,5650,1,2
247,48.2,14.3,210,4600,0,2
248,50,15.3,220,5550,1,2
249,47.3,15.3,222,5250,1,2
250,42.8,14.2,209,4700,0,2
251,45.1,14.5,207,5050,0,2
252,59.6,17,230,6050,1,2
253,49.1,14.8,220,5150,0,2
254,48.4,16.3,220,5400,1,2
255,42.6,13.7,213,4950,0,2
256,44.4,17.3,219,5250,1,2
257,44,13.6,208,4350,0,2
258,48.7,15.7,208,5350,1,2
259,42.7,13.7,208,3950,0,2
260,49.6,16,225,5700,1,2
261,45.3,13.7,210,4300,0,2
262,49.6,15,216,4750,1,2
263,50.5,15.9,222,5550,1,2
264,43.6,13.9,217,4900,0,2
265,45.5,13.9,210,4200,0,2
266,50.5,15.9,225,5400,1,2
267,44.9,13.3,213,5100,0,2
268,45.2,15.8,215,5300,1,2
269,46.6,14.2,210,4850,0,2
270,48.5,14.1,220,5300,1,2
271,45.1,14.4,210,4400,0,2
